ratio,N,leak_mean,leak_sd,predicted
5.0000,50.0000,0.5270,0.0097,0.5540
5.0000,100.0000,0.6394,0.0530,0.6373
5.0000,200.0000,0.6832,0.0481,0.7130
5.0000,400.0000,0.7174,0.0331,0.7784
5.0000,800.0000,0.7412,0.0091,0.8325
5.0000,1600.0000,0.8221,0.0295,0.8754
5.0000,3200.0000,0.8679,0.0059,0.9086
50.0000,50.0000,0.0920,0.0138,0.1105
50.0000,100.0000,0.1628,0.0102,0.1494
50.0000,200.0000,0.1822,0.0185,0.1990
50.0000,400.0000,0.2335,0.0189,0.2600
50.0000,800.0000,0.2967,0.0085,0.3320
50.0000,1600.0000,0.3925,0.0128,0.4127
50.0000,3200.0000,0.4790,0.0061,0.4984
500.0000,50.0000,-0.0037,0.0164,0.0123
500.0000,100.0000,0.0340,0.0014,0.0173
500.0000,200.0000,0.0100,0.0153,0.0242
500.0000,400.0000,0.0276,0.0091,0.0339
500.0000,800.0000,0.0380,0.0121,0.0473
500.0000,1600.0000,0.0644,0.0021,0.0657
500.0000,3200.0000,0.0835,0.0067,0.0904
