proxy,n_biased,N,LR,BIC_gain,gap_biased,gap_clean
1.0000,0.0000,1500.0000,53.7379,-4.7678,nan,0.8578
1.0000,0.0000,3000.0000,91.2313,27.1803,nan,0.7331
1.0000,0.0000,6000.0000,168.9921,99.3960,nan,0.7107
1.0000,0.0000,12000.0000,281.8504,206.7092,nan,0.7188
1.0000,1.0000,1500.0000,48.2374,-10.2683,0.4870,0.9394
1.0000,1.0000,3000.0000,84.5433,20.4924,0.7540,0.7472
1.0000,1.0000,6000.0000,152.6537,83.0575,0.7985,0.6990
1.0000,1.0000,12000.0000,239.3489,164.2076,0.6850,0.7051
1.0000,2.0000,1500.0000,67.1269,8.6212,1.9449,0.3753
1.0000,2.0000,3000.0000,219.7392,155.6882,2.0619,0.2786
1.0000,2.0000,6000.0000,433.3983,363.8022,2.0470,0.2994
1.0000,2.0000,12000.0000,568.8436,493.7023,2.0139,0.2952
0.0000,0.0000,1500.0000,15.5408,-42.9650,nan,0.6679
0.0000,0.0000,3000.0000,17.7580,-46.2929,nan,2.4192
0.0000,0.0000,6000.0000,15.9434,-53.6527,nan,0.4883
0.0000,0.0000,12000.0000,20.0139,-55.1273,nan,0.7542
0.0000,1.0000,1500.0000,13.5520,-44.9538,0.4425,0.4559
0.0000,1.0000,3000.0000,12.1258,-51.9251,1.1512,0.7292
0.0000,1.0000,6000.0000,18.8676,-50.7285,1.9622,1.6647
0.0000,1.0000,12000.0000,18.1775,-56.9638,0.1477,0.3589
0.0000,2.0000,1500.0000,47.7543,-10.7515,1.7893,0.1333
0.0000,2.0000,3000.0000,170.1660,106.1151,1.8194,0.1069
0.0000,2.0000,6000.0000,324.1112,254.5150,1.8393,0.0442
0.0000,2.0000,12000.0000,419.1057,343.9644,1.8706,0.0532
