q,pstar_fixed,pstar_selfincl
0.02000,0.06576,0.02844
0.04000,0.12565,0.05863
0.06000,0.18043,0.09067
0.08000,0.23072,0.12461
0.10000,0.27705,0.16047
0.12000,0.31987,0.19820
0.14000,0.35957,0.23766
0.16000,0.39648,0.27863
0.18000,0.43088,0.32076
0.20000,0.46301,0.36357
0.22000,0.49310,0.40649
0.24000,0.52134,0.44887
0.26000,0.54788,0.49011
0.28000,0.57288,0.52967
0.30000,0.59647,0.56710
0.32000,0.61876,0.60215
0.34000,0.63987,0.63468
0.36000,0.65987,0.66468
0.38000,0.67886,0.69224
0.40000,0.69691,0.71748
0.42000,0.71408,0.74057
0.44000,0.73045,0.76169
0.46000,0.74607,0.78102
0.48000,0.76098,0.79875
0.50000,0.77523,0.81502
0.52000,0.78887,0.82999
0.54000,0.80193,0.84378
0.56000,0.81446,0.85653
0.58000,0.82648,0.86832
0.60000,0.83802,0.87927
0.62000,0.84911,0.88945
0.64000,0.85978,0.89893
0.66000,0.87005,0.90778
0.68000,0.87994,0.91606
0.70000,0.88947,0.92382
0.72000,0.89867,0.93110
0.74000,0.90755,0.93795
0.76000,0.91612,0.94440
0.78000,0.92440,0.95048
0.80000,0.93241,0.95623
0.82000,0.94016,0.96167
0.84000,0.94766,0.96682
0.86000,0.95493,0.97171
0.88000,0.96197,0.97636
0.90000,0.96879,0.98078
0.92000,0.97541,0.98499
0.94000,0.98183,0.98900
0.96000,0.98806,0.99283
0.98000,0.99412,0.99643
